Date,Open,High,Low,Close,Adj Close,Volume
2015-09-28,73.58000200000001,73.949997,72.099998,72.16999799999999,66.05098000000001,1993200
2015-09-29,72.120003,72.489998,71.040001,71.550003,65.483559,2837800
2015-09-30,72.720001,72.860001,71.760002,72.519997,66.371307,2689600
2015-10-01,72.629997,73.019997,71.760002,72.940002,66.75572199999999,4221000
2015-10-02,71.209999,72.870003,70.16999799999999,72.870003,66.691643,3122500
2015-10-05,73.360001,75.639999,73.360001,75.300003,68.915604,2538700
2015-10-06,74.900002,75.690002,74.66999799999999,75.220001,68.842384,2336700
2015-10-07,75.68,76.16999799999999,74.660004,74.959999,68.604439,2338200
2015-10-08,74.550003,75.260002,73.870003,75.050003,68.68679,2422000
2015-10-09,75.349998,75.709999,74.239998,74.449997,68.13765699999999,2209500
2015-10-12,74.650002,74.879997,74.010002,74.25,67.954628,1729900
2015-10-13,74.07,74.57,73.629997,73.940002,67.670914,2340900
2015-10-14,74.0,74.050003,72.33000200000001,72.559998,66.407928,3287400
2015-10-15,73.18,74.540001,72.629997,74.519997,68.20174399999999,2593300
2015-10-16,74.949997,75.08000200000001,74.160004,74.66999799999999,68.339027,2714200
2015-10-19,74.139999,74.879997,73.970001,74.639999,68.311562,2429300
2015-10-20,74.540001,75.160004,74.41999799999999,74.58000200000001,68.256638,2173500
2015-10-21,75.010002,75.300003,73.610001,73.68,67.43296099999999,3235800
2015-10-22,73.779999,76.379997,73.779999,74.940002,68.586113,4234100
2015-10-23,77.360001,81.410004,77.18,81.120003,74.242134,6560700
2015-10-26,80.510002,80.93,79.470001,79.650002,72.896782,3081900
2015-10-27,79.08000200000001,79.589996,78.940002,79.33000200000001,72.603912,1954300
2015-10-28,79.339996,81.190002,79.199997,81.139999,74.26044499999999,2264200
2015-10-29,80.879997,81.410004,79.93,80.199997,73.400154,2011900
2015-10-30,80.550003,80.730003,78.82,78.900002,72.210365,2707000
2015-11-02,79.370003,80.5,79.220001,80.220001,73.41845699999999,2281600
2015-11-03,79.760002,81.370003,79.75,80.879997,74.02248399999999,1950900
2015-11-04,80.83000200000001,81.190002,80.389999,80.550003,73.720467,2290700
2015-11-05,80.82,80.82,79.540001,79.550003,73.168602,3377200
2015-11-06,81.230003,81.620003,80.400002,81.41999799999999,74.888611,3579200
2015-11-09,81.339996,81.589996,80.110001,80.449997,73.996414,2590200
2015-11-10,80.279999,80.769997,79.370003,79.379997,73.01223,2801000
2015-11-11,79.760002,79.93,78.690002,78.870003,72.543152,2420500
